Date,Fund,MoM Return
2/1/15,LifeStrategy 60% Equity Fund,0.99
2/1/15,USD Corporate Bond UCITS ETF,
2/1/15,U.K. Long Duration Gilt Index Fund,-7.78
2/1/15,Target Retirement 2030 Fund,
2/1/15,U.K. Government Bond Index Fund,-4.59
2/1/15,Japan Stock Index Fund,3.06
2/1/15,Target Retirement 2060 Fund,
2/1/15,Global Emerging Markets Fund,
2/1/15,FTSE Developed World UCITS ETF,5.75
2/1/15,U.S. Investment Grade Credit Index Fund,-0.72
2/1/15,U.K. Gilt UCITS ETF,-4.59
2/1/15,USD Treasury Bond UCITS ETF,
2/1/15,Emerging Markets Stock Index Fund,0.17
2/1/15,FTSE 100 Index Unit Trust,
2/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
2/1/15,Global Equity Fund,
2/1/15,FTSE U.K. Equity Income Index Fund,3.56
2/1/15,Target Retirement 2045 Fund,
2/1/15,FTSE North America UCITS ETF,5.78
2/1/15,USD Emerging Markets Government Bond UCITS ETF,
2/1/15,SustainableLife 60-70% Equity Fund,
2/1/15,ESG Global All Cap UCITS ETF,
2/1/15,U.K. Short-Term Investment Grade Bond Index Fund,-0.36
2/1/15,Japan Government Bond Index Fund,-0.57
2/1/15,ESG Global Corporate Bond Index Fund,
2/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
3/1/15,U.K. Long Duration Gilt Index Fund,3.42
3/1/15,LifeStrategy 80% Equity Fund,1.73
3/1/15,FTSE Developed World UCITS ETF,-1.48
3/1/15,FTSE Developed Europe ex UK UCITS ETF,3.28
3/1/15,SustainableLife 80-90% Equity Fund,
3/1/15,FTSE Developed Europe UCITS ETF,1.69
3/1/15,U.S. Equity Index Fund,3.01
3/1/15,U.S. Government Bond Index Fund,0.64
3/1/15,Target Retirement 2015 Fund,
3/1/15,U.K. Short-Term Investment Grade Bond Index Fund,0.52
3/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,2.99
3/1/15,SustainableLife 60-70% Equity Fund,
3/1/15,Target Retirement 2025 Fund,
3/1/15,Target Retirement 2030 Fund,
3/1/15,USD Corporate Bond UCITS ETF,
3/1/15,U.K. Investment Grade Bond Index Fund,1.23
3/1/15,FTSE Emerging Markets UCITS ETF,-2.02
3/1/15,SustainableLife 40-50% Equity Fund,
3/1/15,U.S. Investment Grade Credit Index Fund,0.33
3/1/15,LifeStrategy 100% Equity Fund,1.87
3/1/15,Target Retirement 2020 Fund,
3/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
3/1/15,Target Retirement 2035 Fund,
3/1/15,Target Retirement 2065 Fund,
3/1/15,FTSE All-World High Dividend Yield UCITS ETF,-2.4
3/1/15,Global Short-Term Bond Index Fund,0.25
3/1/15,Target Retirement 2055 Fund,
3/1/15,Germany All Cap UCITS ETF,
3/1/15,ESG EUR Corporate Bond UCITS ETF,
3/1/15,Sterling Short-Term Money Market Fund,
3/1/15,Global Bond Index Fund,0.62
3/1/15,ESG Developed Europe All Cap UCITS ETF,
3/1/15,Japan Government Bond Index Fund,0.15
3/1/15,USD Treasury Bond UCITS ETF,
3/1/15,USD Emerging Markets Government Bond UCITS ETF,
3/1/15,FTSE North America UCITS ETF,-1.62
3/1/15,EUR Corporate Bond UCITS ETF,
3/1/15,ESG Global Corporate Bond Index Fund,
3/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
3/1/15,Active U.K. Equity Fund,
3/1/15,U.K. Government Bond Index Fund,2.19
3/1/15,Global Equity Income Fund,
3/1/15,ESG Global All Cap UCITS ETF,
3/1/15,Global Corporate Bond Index Fund,
3/1/15,FTSE Developed World ex-U.K. Equity Index Fund,2.98
3/1/15,Emerging Markets Stock Index Fund,2.63
3/1/15,Japan Stock Index Fund,5.69
3/1/15,Euro Investment Grade Bond Index Fund,0.37
3/1/15,FTSE 100 Index Unit Trust,
3/1/15,LifeStrategy 20% Equity Fund,1.26
3/1/15,U.K. Gilt UCITS ETF,2.19
3/1/15,Target Retirement 2050 Fund,
3/1/15,Global Equity Fund,
3/1/15,FTSE U.K. Equity Income Index Fund,-1.79
3/1/15,Pacific ex-Japan Stock Index Fund,2.69
3/1/15,Target Retirement 2045 Fund,
3/1/15,S&P 500 UCITS ETF,-1.62
3/1/15,LifeStrategy 60% Equity Fund,1.59
3/1/15,Target Retirement 2040 Fund,
3/1/15,Global Credit Bond Fund,
3/1/15,ESG Global Corporate Bond UCITS ETF,
3/1/15,FTSE Global All Cap Index Fund,
3/1/15,U.K. Inflation-Linked Gilt Index Fund,3.73
3/1/15,FTSE U.K. All Share Index Unit Trust,-1.68
3/1/15,Global Short-Term Corporate Bond Index Fund,
3/1/15,ESG Developed World All Cap Equity Index Fund,2.54
3/1/15,LifeStrategy 40% Equity Fund,1.41
3/1/15,Global Aggregate Bond UCITS ETF,
3/1/15,Euro Government Bond Index Fund,1.14
3/1/15,ESG North America All Cap UCITS ETF,
3/1/15,ESG Developed World All Cap Equity Index Fund (UK),
3/1/15,Global Small-Cap Index Fund,4.29
3/1/15,SRI European Stock Fund,1.36
3/1/15,FTSE Japan UCITS ETF,1.65
3/1/15,Global Sustainable Equity Fund,
3/1/15,Emerging Markets Bond Fund,
3/1/15,FTSE 250 UCITS ETF,-0.84
3/1/15,ESG Emerging Markets All Cap Equity Index Fund,
3/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,-0.68
3/1/15,Global Emerging Markets Fund,
3/1/15,FTSE 100 UCITS ETF,-1.95
3/1/15,Target Retirement 2060 Fund,
3/1/15,ESG Emerging Markets All Cap UCITS ETF,
3/1/15,ESG USD Corporate Bond UCITS ETF,
3/1/15,FTSE All-World UCITS ETF,-1.51
3/1/15,EUR Eurozone Government Bond UCITS ETF,
4/1/15,FTSE All-World High Dividend Yield UCITS ETF,4.78
4/1/15,FTSE Developed World UCITS ETF,2.45
4/1/15,SustainableLife 80-90% Equity Fund,
4/1/15,Pacific ex-Japan Stock Index Fund,0.45
4/1/15,ESG North America All Cap UCITS ETF,
4/1/15,Target Retirement 2020 Fund,
4/1/15,FTSE Japan UCITS ETF,3.41
4/1/15,ESG Global Corporate Bond UCITS ETF,
4/1/15,FTSE Developed Europe ex UK UCITS ETF,-0.94
4/1/15,Global Emerging Markets Fund,
4/1/15,USD Treasury Bond UCITS ETF,
4/1/15,S&P 500 UCITS ETF,0.94
4/1/15,ESG Global Corporate Bond Index Fund,
4/1/15,FTSE 100 Index Unit Trust,
4/1/15,FTSE Developed World ex-U.K. Equity Index Fund,-1.4
4/1/15,SustainableLife 60-70% Equity Fund,
4/1/15,FTSE U.K. Equity Income Index Fund,3.16
4/1/15,Global Small-Cap Index Fund,-2.53
4/1/15,ESG Developed World All Cap Equity Index Fund (UK),
4/1/15,FTSE Developed Europe UCITS ETF,0.11
4/1/15,LifeStrategy 40% Equity Fund,-0.55
4/1/15,U.S. Equity Index Fund,-2.97
4/1/15,Global Short-Term Corporate Bond Index Fund,
4/1/15,FTSE U.K. All Share Index Unit Trust,3.04
4/1/15,ESG Developed World All Cap Equity Index Fund,-1.05
4/1/15,Global Sustainable Equity Fund,
4/1/15,ESG Emerging Markets All Cap Equity Index Fund,
4/1/15,FTSE 100 UCITS ETF,3.14
4/1/15,U.S. Government Bond Index Fund,-0.46
4/1/15,FTSE 250 UCITS ETF,2.7
4/1/15,USD Emerging Markets Government Bond UCITS ETF,
4/1/15,Target Retirement 2015 Fund,
4/1/15,ESG Emerging Markets All Cap UCITS ETF,
4/1/15,Global Short-Term Bond Index Fund,0.05
4/1/15,Global Equity Fund,
4/1/15,FTSE Emerging Markets UCITS ETF,7.93
4/1/15,ESG Global All Cap UCITS ETF,
4/1/15,Japan Stock Index Fund,0
4/1/15,Emerging Markets Stock Index Fund,4
4/1/15,SustainableLife 40-50% Equity Fund,
4/1/15,Emerging Markets Bond Fund,
4/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
4/1/15,Global Equity Income Fund,
4/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,-0.15
4/1/15,Japan Government Bond Index Fund,0.37
4/1/15,U.K. Short-Term Investment Grade Bond Index Fund,-0.27
4/1/15,ESG EUR Corporate Bond UCITS ETF,
4/1/15,ESG Developed Europe All Cap UCITS ETF,
4/1/15,FTSE North America UCITS ETF,1.21
4/1/15,U.K. Long Duration Gilt Index Fund,-3.89
4/1/15,Active U.K. Equity Fund,
4/1/15,EUR Eurozone Government Bond UCITS ETF,
4/1/15,LifeStrategy 60% Equity Fund,-0.42
4/1/15,Target Retirement 2025 Fund,
4/1/15,U.S. Investment Grade Credit Index Fund,-0.26
4/1/15,LifeStrategy 20% Equity Fund,-0.72
4/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,4.82
4/1/15,Target Retirement 2040 Fund,
4/1/15,Germany All Cap UCITS ETF,
4/1/15,Target Retirement 2055 Fund,
4/1/15,LifeStrategy 100% Equity Fund,-0.09
4/1/15,U.K. Investment Grade Bond Index Fund,-1.77
4/1/15,Target Retirement 2050 Fund,
4/1/15,Global Bond Index Fund,-0.55
4/1/15,U.K. Gilt UCITS ETF,-2.33
4/1/15,USD Corporate Bond UCITS ETF,
4/1/15,Euro Investment Grade Bond Index Fund,-0.46
4/1/15,Global Corporate Bond Index Fund,
4/1/15,Target Retirement 2045 Fund,
4/1/15,U.K. Government Bond Index Fund,-2.32
4/1/15,Target Retirement 2030 Fund,
4/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
4/1/15,Sterling Short-Term Money Market Fund,
4/1/15,EUR Corporate Bond UCITS ETF,
4/1/15,FTSE All-World UCITS ETF,2.92
4/1/15,Target Retirement 2060 Fund,
4/1/15,LifeStrategy 80% Equity Fund,-0.26
4/1/15,Global Aggregate Bond UCITS ETF,
4/1/15,SRI European Stock Fund,0.74
4/1/15,Global Credit Bond Fund,
4/1/15,Euro Government Bond Index Fund,-1.28
4/1/15,Target Retirement 2035 Fund,
4/1/15,FTSE Global All Cap Index Fund,
4/1/15,U.K. Inflation-Linked Gilt Index Fund,-0.67
4/1/15,Target Retirement 2065 Fund,
4/1/15,ESG USD Corporate Bond UCITS ETF,
5/1/15,U.K. Short-Term Investment Grade Bond Index Fund,0.2
5/1/15,USD Corporate Bond UCITS ETF,
5/1/15,ESG EUR Corporate Bond UCITS ETF,
5/1/15,FTSE Developed Europe UCITS ETF,1.6
5/1/15,Global Bond Index Fund,-0.49
5/1/15,U.K. Investment Grade Bond Index Fund,0.38
5/1/15,ESG Developed World All Cap Equity Index Fund (UK),
5/1/15,FTSE U.K. All Share Index Unit Trust,1.35
5/1/15,Japan Government Bond Index Fund,-0.48
5/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,-0.21
5/1/15,Global Equity Income Fund,
5/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
5/1/15,U.K. Government Bond Index Fund,0.45
5/1/15,SustainableLife 60-70% Equity Fund,
5/1/15,FTSE North America UCITS ETF,0.95
5/1/15,Global Small-Cap Index Fund,2.15
5/1/15,Euro Government Bond Index Fund,-1.35
5/1/15,Target Retirement 2035 Fund,
5/1/15,U.S. Equity Index Fund,2.07
5/1/15,Global Short-Term Bond Index Fund,0.08
5/1/15,LifeStrategy 40% Equity Fund,0.18
5/1/15,ESG Developed World All Cap Equity Index Fund,1.08
5/1/15,FTSE Global All Cap Index Fund,
5/1/15,Global Aggregate Bond UCITS ETF,
5/1/15,Global Sustainable Equity Fund,
5/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
5/1/15,ESG Emerging Markets All Cap Equity Index Fund,
5/1/15,FTSE 100 UCITS ETF,0.73
5/1/15,LifeStrategy 60% Equity Fund,0.44
5/1/15,U.K. Inflation-Linked Gilt Index Fund,0.4
5/1/15,ESG Developed Europe All Cap UCITS ETF,
5/1/15,EUR Eurozone Government Bond UCITS ETF,
5/1/15,ESG North America All Cap UCITS ETF,
5/1/15,FTSE 250 UCITS ETF,4.16
5/1/15,U.S. Government Bond Index Fund,-0.31
5/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,-3.35
5/1/15,USD Emerging Markets Government Bond UCITS ETF,
5/1/15,Global Short-Term Corporate Bond Index Fund,
5/1/15,Target Retirement 2015 Fund,
5/1/15,Target Retirement 2040 Fund,
5/1/15,ESG Emerging Markets All Cap UCITS ETF,
5/1/15,Germany All Cap UCITS ETF,
5/1/15,LifeStrategy 80% Equity Fund,0.66
5/1/15,Target Retirement 2065 Fund,
5/1/15,EUR Corporate Bond UCITS ETF,
5/1/15,Target Retirement 2045 Fund,
5/1/15,FTSE 100 Index Unit Trust,
5/1/15,LifeStrategy 20% Equity Fund,-0.07
5/1/15,U.S. Investment Grade Credit Index Fund,-0.58
5/1/15,FTSE Developed World ex-U.K. Equity Index Fund,1.04
5/1/15,Target Retirement 2025 Fund,
5/1/15,Target Retirement 2030 Fund,
5/1/15,ESG Global Corporate Bond Index Fund,
5/1/15,Sterling Short-Term Money Market Fund,
5/1/15,USD Treasury Bond UCITS ETF,
5/1/15,Global Emerging Markets Fund,
5/1/15,FTSE Developed Europe ex UK UCITS ETF,1.25
5/1/15,FTSE Developed World UCITS ETF,0.29
5/1/15,Active U.K. Equity Fund,
5/1/15,ESG USD Corporate Bond UCITS ETF,
5/1/15,FTSE All-World UCITS ETF,-0.05
5/1/15,S&P 500 UCITS ETF,1.25
5/1/15,Target Retirement 2060 Fund,
5/1/15,Global Credit Bond Fund,
5/1/15,ESG Global Corporate Bond UCITS ETF,
5/1/15,FTSE Japan UCITS ETF,1.39
5/1/15,SRI European Stock Fund,0.37
5/1/15,SustainableLife 40-50% Equity Fund,
5/1/15,U.K. Long Duration Gilt Index Fund,0.56
5/1/15,Pacific ex-Japan Stock Index Fund,-1.93
5/1/15,LifeStrategy 100% Equity Fund,0.84
5/1/15,Target Retirement 2020 Fund,
5/1/15,SustainableLife 80-90% Equity Fund,
5/1/15,ESG Global All Cap UCITS ETF,
5/1/15,Target Retirement 2050 Fund,
5/1/15,Euro Investment Grade Bond Index Fund,-0.57
5/1/15,FTSE Emerging Markets UCITS ETF,-3.43
5/1/15,Emerging Markets Bond Fund,
5/1/15,Japan Stock Index Fund,1.99
5/1/15,Target Retirement 2055 Fund,
5/1/15,FTSE All-World High Dividend Yield UCITS ETF,-1.27
5/1/15,FTSE U.K. Equity Income Index Fund,1.49
5/1/15,U.K. Gilt UCITS ETF,0.45
5/1/15,Emerging Markets Stock Index Fund,-3.37
5/1/15,Global Corporate Bond Index Fund,
5/1/15,Global Equity Fund,
6/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,-5.68
6/1/15,EUR Corporate Bond UCITS ETF,
6/1/15,Global Bond Index Fund,-1.22
6/1/15,Global Short-Term Corporate Bond Index Fund,
6/1/15,Global Equity Income Fund,
6/1/15,LifeStrategy 80% Equity Fund,-4.51
6/1/15,Global Corporate Bond Index Fund,
6/1/15,USD Treasury Bond UCITS ETF,
6/1/15,ESG Developed World All Cap Equity Index Fund (UK),
6/1/15,Global Credit Bond Fund,
6/1/15,ESG North America All Cap UCITS ETF,
6/1/15,SustainableLife 40-50% Equity Fund,
6/1/15,SustainableLife 60-70% Equity Fund,
6/1/15,Euro Government Bond Index Fund,-2.35
6/1/15,ESG Global Corporate Bond UCITS ETF,
6/1/15,ESG USD Corporate Bond UCITS ETF,
6/1/15,FTSE U.K. Equity Income Index Fund,-6.09
6/1/15,FTSE Developed World UCITS ETF,-2.36
6/1/15,FTSE 100 Index Unit Trust,
6/1/15,Global Short-Term Bond Index Fund,-0.16
6/1/15,LifeStrategy 100% Equity Fund,-5.22
6/1/15,Germany All Cap UCITS ETF,
6/1/15,U.S. Government Bond Index Fund,-0.8
6/1/15,U.S. Investment Grade Credit Index Fund,-1.35
6/1/15,Euro Investment Grade Bond Index Fund,-1.65
6/1/15,ESG Global Corporate Bond Index Fund,
6/1/15,ESG EUR Corporate Bond UCITS ETF,
6/1/15,EUR Eurozone Government Bond UCITS ETF,
6/1/15,FTSE 100 UCITS ETF,-6.42
6/1/15,ESG Emerging Markets All Cap Equity Index Fund,
6/1/15,Global Equity Fund,
6/1/15,Global Emerging Markets Fund,
6/1/15,FTSE U.K. All Share Index Unit Trust,-5.77
6/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
6/1/15,ESG Emerging Markets All Cap UCITS ETF,
6/1/15,ESG Global All Cap UCITS ETF,
6/1/15,LifeStrategy 20% Equity Fund,-2.37
6/1/15,Global Aggregate Bond UCITS ETF,
6/1/15,USD Corporate Bond UCITS ETF,
6/1/15,ESG Developed World All Cap Equity Index Fund,-5.24
6/1/15,FTSE 250 UCITS ETF,-3.3
6/1/15,U.K. Gilt UCITS ETF,-1.92
6/1/15,Target Retirement 2050 Fund,
6/1/15,Target Retirement 2015 Fund,
6/1/15,Target Retirement 2055 Fund,
6/1/15,Target Retirement 2025 Fund,
6/1/15,Sterling Short-Term Money Market Fund,
6/1/15,U.K. Short-Term Investment Grade Bond Index Fund,-0.51
6/1/15,Japan Government Bond Index Fund,-0.01
6/1/15,FTSE All-World UCITS ETF,-2.35
6/1/15,Target Retirement 2060 Fund,
6/1/15,SRI European Stock Fund,-5.72
6/1/15,Target Retirement 2065 Fund,
6/1/15,ESG Developed Europe All Cap UCITS ETF,
6/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
6/1/15,FTSE North America UCITS ETF,-2.01
6/1/15,FTSE Japan UCITS ETF,-1.44
6/1/15,Emerging Markets Stock Index Fund,-5.51
6/1/15,Japan Stock Index Fund,-4.65
6/1/15,S&P 500 UCITS ETF,-1.96
6/1/15,Active U.K. Equity Fund,
6/1/15,SustainableLife 80-90% Equity Fund,
6/1/15,FTSE Emerging Markets UCITS ETF,-2.35
6/1/15,FTSE Developed Europe ex UK UCITS ETF,-4.36
6/1/15,Emerging Markets Bond Fund,
6/1/15,FTSE All-World High Dividend Yield UCITS ETF,-2.77
6/1/15,Target Retirement 2020 Fund,
6/1/15,FTSE Developed World ex-U.K. Equity Index Fund,-5.16
6/1/15,U.K. Long Duration Gilt Index Fund,-3.32
6/1/15,Target Retirement 2045 Fund,
6/1/15,FTSE Developed Europe UCITS ETF,-4.57
6/1/15,Target Retirement 2030 Fund,
6/1/15,Global Small-Cap Index Fund,-3.87
6/1/15,Target Retirement 2035 Fund,
6/1/15,U.K. Inflation-Linked Gilt Index Fund,-2.51
6/1/15,U.S. Equity Index Fund,-4.65
6/1/15,FTSE Global All Cap Index Fund,
6/1/15,LifeStrategy 40% Equity Fund,-3.08
6/1/15,LifeStrategy 60% Equity Fund,-3.79
6/1/15,USD Emerging Markets Government Bond UCITS ETF,
6/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,-4.21
6/1/15,Global Sustainable Equity Fund,
6/1/15,Target Retirement 2040 Fund,
6/1/15,U.K. Investment Grade Bond Index Fund,-2.56
6/1/15,Pacific ex-Japan Stock Index Fund,-6.66
6/1/15,U.K. Government Bond Index Fund,-1.92
7/1/15,Sterling Short-Term Money Market Fund,
7/1/15,ESG Global Corporate Bond UCITS ETF,
7/1/15,Global Aggregate Bond UCITS ETF,
7/1/15,FTSE Global All Cap Index Fund,
7/1/15,FTSE Japan UCITS ETF,0.51
7/1/15,S&P 500 UCITS ETF,2.07
7/1/15,U.K. Gilt UCITS ETF,1.7
7/1/15,Global Corporate Bond Index Fund,
7/1/15,Active U.K. Equity Fund,
7/1/15,LifeStrategy 80% Equity Fund,1.76
7/1/15,U.K. Inflation-Linked Gilt Index Fund,2.62
7/1/15,FTSE Developed Europe ex UK UCITS ETF,4.63
7/1/15,Global Emerging Markets Fund,
7/1/15,SustainableLife 40-50% Equity Fund,
7/1/15,Target Retirement 2030 Fund,
7/1/15,Target Retirement 2035 Fund,
7/1/15,FTSE Developed World ex-U.K. Equity Index Fund,2.43
7/1/15,ESG Global Corporate Bond Index Fund,
7/1/15,Target Retirement 2020 Fund,
7/1/15,Target Retirement 2045 Fund,
7/1/15,Euro Government Bond Index Fund,2.19
7/1/15,EUR Corporate Bond UCITS ETF,
7/1/15,LifeStrategy 100% Equity Fund,1.86
7/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
7/1/15,Target Retirement 2065 Fund,
7/1/15,Pacific ex-Japan Stock Index Fund,-0.41
7/1/15,U.S. Investment Grade Credit Index Fund,0.73
